turbine_id,farm_id,timestamp,received_at,power_output_kw,wind_speed_ms,rotor_rpm,blade_pitch_deg,gearbox_temp_c
TURB001,FARM01,2026-01-01T00:00:00Z,2026-01-01T00:02:00Z,2331.2,8.0,14.0,3.6,81.6
TURB001,FARM01,2026-01-01T00:05:00Z,2026-01-01T00:07:00Z,1966.7,6.8,12.0,4.0,80.1
TURB001,FARM01,2026-01-01T00:10:00Z,2026-01-01T00:12:00Z,2096.3,7.2,12.3,4.1,78.0
TURB001,FARM01,2026-01-01T00:15:00Z,2026-01-01T00:22:00Z,2099.5,7.5,13.7,4.5,80.2
TURB001,FARM01,2026-01-01T00:20:00Z,2026-01-01T00:22:00Z,1965.9,6.8,11.7,5.0,78.2
TURB001,FARM01,2026-01-01T00:25:00Z,2026-01-01T00:27:00Z,2061.9,7.4,12.7,4.7,79.5
TURB001,FARM01,2026-01-01T00:30:00Z,2026-01-01T00:37:00Z,2174.0,7.6,13.1,4.4,80.1
TURB001,FARM01,2026-01-01T00:35:00Z,2026-01-01T00:36:00Z,1868.6,6.3,13.3,4.6,79.0
TURB001,FARM01,2026-01-01T00:40:00Z,2026-01-01T00:58:00Z,1785.9,6.2,11.5,4.9,78.0
TURB001,FARM01,2026-01-01T00:45:00Z,2026-01-01T00:49:00Z,2130.7,7.1,13.7,4.8,79.3
TURB001,FARM01,2026-01-01T00:50:00Z,2026-01-01T00:54:00Z,2063.4,7.6,12.8,3.6,78.3
TURB001,FARM01,2026-01-01T00:55:00Z,2026-01-01T00:57:00Z,2318.3,8.1,13.9,3.8,80.1
TURB001,FARM01,2026-01-01T01:00:00Z,2026-01-01T01:01:00Z,1878.4,6.2,12.7,4.7,80.7
TURB001,FARM01,2026-01-01T01:05:00Z,2026-01-01T01:09:00Z,2149.8,7.2,12.8,3.5,79.2
TURB001,FARM01,2026-01-01T01:10:00Z,2026-01-01T01:11:00Z,1893.7,6.4,11.8,4.6,76.4
TURB001,FARM01,2026-01-01T01:15:00Z,2026-01-01T01:17:00Z,2346.9,8.2,13.5,3.1,81.5
TURB001,FARM01,2026-01-01T01:20:00Z,2026-01-01T01:22:00Z,1954.3,6.5,13.1,4.4,79.1
TURB001,FARM01,2026-01-01T01:25:00Z,2026-01-01T01:43:00Z,2189.0,7.5,12.8,4.3,79.3
TURB001,FARM01,2026-01-01T01:30:00Z,2026-01-01T01:32:00Z,1756.2,6.1,11.6,4.4,78.1
TURB001,FARM01,2026-01-01T01:35:00Z,2026-01-01T01:42:00Z,1725.9,5.9,12.4,4.1,77.4
TURB001,FARM01,2026-01-01T01:40:00Z,2026-01-01T01:58:00Z,1721.6,6.0,11.6,5.0,76.6
TURB001,FARM01,2026-01-01T01:45:00Z,2026-01-01T01:52:00Z,1926.5,6.5,12.3,4.3,77.3
TURB001,FARM01,2026-01-01T01:50:00Z,2026-01-01T01:51:00Z,2075.1,6.9,12.6,4.7,80.1
TURB001,FARM01,2026-01-01T01:55:00Z,2026-01-01T02:13:00Z,1795.5,6.1,12.6,5.2,77.8
TURB001,FARM01,2026-01-01T02:00:00Z,2026-01-01T02:01:00Z,1757.2,6.3,11.6,4.5,79.3
TURB001,FARM01,2026-01-01T02:10:00Z,2026-01-01T02:12:00Z,1954.6,6.1,13.2,5.2,82.2
TURB001,FARM01,2026-01-01T02:15:00Z,2026-01-01T02:26:00Z,1819.7,6.4,12.3,4.1,78.5
TURB001,FARM01,2026-01-01T02:20:00Z,2026-01-01T02:38:00Z,1765.3,6.0,11.9,5.4,79.4
TURB001,FARM01,2026-01-01T02:25:00Z,2026-01-01T02:32:00Z,1880.5,6.4,11.9,5.3,78.6
TURB001,FARM01,2026-01-01T02:35:00Z,2026-01-01T02:36:00Z,1816.3,6.3,12.4,4.6,80.5
TURB001,FARM01,2026-01-01T02:45:00Z,2026-01-01T02:47:00Z,2220.5,8.2,12.6,3.0,80.8
TURB001,FARM01,2026-01-01T02:50:00Z,2026-01-01T02:57:00Z,2109.6,7.6,12.1,3.3,79.3
TURB001,FARM01,2026-01-01T02:55:00Z,2026-01-01T02:59:00Z,2295.0,8.5,13.0,3.9,79.1
TURB001,FARM01,2026-01-01T03:00:00Z,2026-01-01T03:01:00Z,2179.2,7.4,13.8,4.8,79.5
TURB001,FARM01,2026-01-01T03:05:00Z,2026-01-01T03:07:00Z,1944.8,6.5,11.8,4.1,79.9
TURB001,FARM01,2026-01-01T03:10:00Z,2026-01-01T03:11:00Z,2058.0,7.3,12.2,4.7,79.5
TURB001,FARM01,2026-01-01T03:15:00Z,2026-01-01T03:19:00Z,2312.6,8.0,13.4,4.5,79.2
TURB001,FARM01,2026-01-01T03:20:00Z,2026-01-01T03:27:00Z,1938.7,6.8,11.8,4.4,77.1
TURB001,FARM01,2026-01-01T03:25:00Z,2026-01-01T03:26:00Z,2106.1,7.0,13.0,3.9,80.0
TURB001,FARM01,2026-01-01T03:30:00Z,2026-01-01T03:34:00Z,2012.2,6.8,12.4,4.0,77.1
TURB001,FARM01,2026-01-01T03:35:00Z,2026-01-01T03:37:00Z,1955.8,7.0,12.6,4.6,79.6
TURB001,FARM01,2026-01-01T03:40:00Z,2026-01-01T03:44:00Z,2215.7,8.0,14.0,3.9,80.3
TURB001,FARM01,2026-01-01T03:45:00Z,2026-01-01T03:47:00Z,2182.1,7.6,13.9,4.7,79.8
TURB001,FARM01,2026-01-01T03:50:00Z,2026-01-01T03:52:00Z,2379.6,8.4,13.2,3.7,82.0
TURB001,FARM01,2026-01-01T03:55:00Z,2026-01-01T04:05:00Z,2384.3,9.1,13.4,2.8,82.0
TURB001,FARM01,2026-01-01T04:00:00Z,2026-01-01T04:15:00Z,2171.1,7.3,13.7,4.6,81.0
TURB001,FARM01,2026-01-01T04:05:00Z,2026-01-01T04:07:00Z,2114.7,7.3,13.3,3.9,78.8
TURB001,FARM01,2026-01-01T04:10:00Z,2026-01-01T04:11:00Z,2400.5,9.0,13.8,3.0,82.7
TURB001,FARM01,2026-01-01T04:15:00Z,2026-01-01T04:22:00Z,2412.4,8.7,13.5,3.1,79.2
TURB001,FARM01,2026-01-01T04:20:00Z,2026-01-01T04:21:00Z,2442.9,8.7,13.5,4.3,81.1
TURB001,FARM01,2026-01-01T04:25:00Z,2026-01-01T04:36:00Z,2417.9,9.3,13.6,3.3,83.1
TURB001,FARM01,2026-01-01T04:30:00Z,2026-01-01T04:32:00Z,2231.8,8.1,13.9,3.7,83.6
TURB001,FARM01,2026-01-01T04:35:00Z,2026-01-01T04:37:00Z,2257.1,7.9,13.7,3.0,83.0
TURB001,FARM01,2026-01-01T04:40:00Z,2026-01-01T04:41:00Z,2215.6,8.3,12.6,3.9,78.7
TURB001,FARM01,2026-01-01T04:45:00Z,2026-01-01T04:49:00Z,2456.3,9.2,13.6,3.0,80.8
TURB001,FARM01,2026-01-01T04:50:00Z,2026-01-01T04:52:00Z,2427.7,8.9,13.2,3.7,80.0
TURB001,FARM01,2026-01-01T04:55:00Z,2026-01-01T05:06:00Z,2413.7,9.1,13.6,3.4,79.0
TURB001,FARM01,2026-01-01T05:00:00Z,2026-01-01T05:18:00Z,2616.0,9.6,14.4,2.8,82.3
TURB001,FARM01,2026-01-01T05:05:00Z,2026-01-01T05:12:00Z,2615.3,9.7,15.2,3.4,84.5
TURB001,FARM01,2026-01-01T05:10:00Z,2026-01-01T05:12:00Z,2350.5,8.0,14.2,3.4,81.4
TURB001,FARM01,2026-01-01T05:15:00Z,2026-01-01T05:26:00Z,2128.2,8.0,12.8,3.8,81.1
TURB001,FARM01,2026-01-01T05:20:00Z,2026-01-01T05:22:00Z,2682.9,10.1,14.7,3.2,82.5
TURB001,FARM01,2026-01-01T05:25:00Z,2026-01-01T05:36:00Z,2464.4,9.6,13.3,3.5,81.7
TURB001,FARM01,2026-01-01T05:30:00Z,2026-01-01T05:31:00Z,2422.0,8.6,14.3,3.8,82.2
TURB001,FARM01,2026-01-01T05:35:00Z,2026-01-01T05:53:00Z,2567.3,9.3,14.7,3.5,84.9
TURB001,FARM01,2026-01-01T05:40:00Z,2026-01-01T05:42:00Z,2647.3,9.7,14.8,3.0,84.5
TURB001,FARM01,2026-01-01T05:45:00Z,2026-01-01T06:03:00Z,2716.9,10.1,14.5,2.5,81.7
TURB001,FARM01,2026-01-01T05:50:00Z,2026-01-01T05:57:00Z,2590.6,9.9,14.0,2.3,81.0
TURB001,FARM01,2026-01-01T05:55:00Z,2026-01-01T05:57:00Z,2703.2,10.6,14.0,2.1,81.4
TURB001,FARM01,2026-01-01T06:00:00Z,2026-01-01T06:11:00Z,2338.5,8.7,13.6,3.5,80.7
TURB001,FARM01,2026-01-01T06:05:00Z,2026-01-01T06:23:00Z,2675.5,9.6,14.8,3.8,81.2
TURB001,FARM01,2026-01-01T06:10:00Z,2026-01-01T06:21:00Z,2455.3,8.8,13.5,3.9,82.3
TURB001,FARM01,2026-01-01T06:15:00Z,2026-01-01T06:19:00Z,2720.1,10.1,15.0,3.3,85.2
TURB001,FARM01,2026-01-01T06:20:00Z,2026-01-01T06:22:00Z,2586.3,9.9,13.5,2.7,81.7
TURB001,FARM01,2026-01-01T06:25:00Z,2026-01-01T06:26:00Z,3000.8,11.0,15.9,3.2,85.2
TURB001,FARM01,2026-01-01T06:30:00Z,2026-01-01T06:37:00Z,2463.7,9.3,13.9,3.8,80.4
