turbine_id,farm_id,farm_name,latitude,longitude
TURB001,FARM01,Prairie Ridge,41.263,-96.518
TURB002,FARM02,High Plains,39.741,-101.207
TURB003,FARM09,Rolling Hills,38.92,-98.1181
TURB004,FARM08,Great Divide,46.2304,-112.4412
TURB005,FARM06,Cedar Valley,42.1206,-93.619
TURB006,FARM05,Blue Sky,31.89,-102.171
TURB007,FARM05,Blue Sky,31.8728,-102.1606
TURB008,FARM01,Prairie Ridge,41.2603,-96.5282
TURB009,FARM06,Cedar Valley,42.1014,-93.6107
TURB010,FARM04,Buffalo Creek,44.99,-103.4386
TURB011,FARM06,Cedar Valley,42.1105,-93.6373
TURB012,FARM07,Mesa Wind,34.7291,-111.8293
TURB013,FARM09,Rolling Hills,38.9007,-98.1108
TURB014,FARM04,Buffalo Creek,44.9714,-103.4301
TURB015,FARM06,Cedar Valley,42.1167,-93.6037
TURB016,FARM10,Coastal Breeze,36.5607,-121.9185
TURB017,FARM04,Buffalo Creek,44.9823,-103.4578
TURB018,FARM06,Cedar Valley,42.0957,-93.621
TURB019,FARM06,Cedar Valley,42.1234,-93.6328
TURB020,FARM02,High Plains,39.7597,-101.221
TURB021,FARM07,Mesa Wind,34.7129,-111.8196
TURB022,FARM02,High Plains,39.7409,-101.2092
TURB023,FARM10,Coastal Breeze,36.5409,-121.9107
TURB024,FARM02,High Plains,39.7494,-101.2363
TURB025,FARM06,Cedar Valley,42.1037,-93.6003
TURB026,FARM05,Blue Sky,31.881,-102.1847
TURB027,FARM07,Mesa Wind,34.7219,-111.8445
TURB028,FARM07,Mesa Wind,34.7279,-111.8161
TURB029,FARM03,Red Canyon,35.1296,-106.551
TURB030,FARM07,Mesa Wind,34.705,-111.8361
TURB031,FARM04,Buffalo Creek,44.9879,-103.4244
TURB032,FARM07,Mesa Wind,34.734,-111.8413
TURB033,FARM02,High Plains,39.7583,-101.206
TURB034,FARM03,Red Canyon,35.1114,-106.5401
TURB035,FARM05,Blue Sky,31.8893,-102.1565
TURB036,FARM08,Great Divide,46.2115,-112.4292
TURB037,FARM05,Blue Sky,31.8657,-102.1732
TURB038,FARM05,Blue Sky,31.8937,-102.1774
TURB039,FARM09,Rolling Hills,38.9105,-98.1366
TURB040,FARM08,Great Divide,46.22,-112.4596
TURB041,FARM05,Blue Sky,31.8769,-102.15
TURB042,FARM04,Buffalo Creek,44.9654,-103.4412
TURB043,FARM04,Buffalo Creek,44.9947,-103.4515
TURB044,FARM04,Buffalo Creek,44.9752,-103.4168
TURB045,FARM03,Red Canyon,35.1207,-106.5656
TURB046,FARM06,Cedar Valley,42.1023,-93.6394
TURB047,FARM07,Mesa Wind,34.7169,-111.8107
TURB048,FARM08,Great Divide,46.2298,-112.4252
TURB049,FARM03,Red Canyon,35.1281,-106.5359
TURB050,FARM05,Blue Sky,31.8714,-102.187
